iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,51043.76284999998,,annual,,
ABW,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,17745.208083684,,annual,,
ABW,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,-11764.488833999998,,annual,,
ABW,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-23950.412939,,annual,,
ABW,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,-3824.464691599999,,annual,,
ABW,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,16893.1917446,,annual,,
ABW,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,40073.31881,,annual,,
ABW,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,-40723.027664,,annual,,
ABW,forestry-and-land-use,removals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,-1920.6886758999992,,annual,,
ABW,forestry-and-land-use,removals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,-1920.6886758999992,,annual,,
ABW,forestry-and-land-use,removals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,-160.0573896583333,,annual,,
AFG,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,-6006489.79117541,,annual,,
AFG,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,4988127.706510581,,annual,,
AFG,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,-9198161.36361322,,annual,,
AFG,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-3010265.317615762,,annual,,
AFG,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,-1735887.3393911358,,annual,,
AFG,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,3074682.597413305,,annual,,
AFG,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,9671708.8935812,,annual,,
AFG,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1365028.3525224598,,annual,,
AFG,forestry-and-land-use,removals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,9128561.262518046,,annual,,
AFG,forestry-and-land-use,removals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,9128561.262518046,,annual,,
AFG,forestry-and-land-use,removals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,760713.4385431706,,annual,,
AGO,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,-1279438997.1614397,,annual,,
AGO,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,-1579862000.178829,,annual,,
AGO,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,-1250111527.2549124,,annual,,
AGO,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-941069193.9485863,,annual,,
AGO,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,-1249900936.1750422,,annual,,
AGO,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,-1312162276.195097,,annual,,
AGO,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,-1237601322.3988912,,annual,,
AGO,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,-1180440133.9321444,,annual,,
AGO,forestry-and-land-use,removals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,-702352905.6353483,,annual,,
AGO,forestry-and-land-use,removals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,-702352905.6353483,,annual,,
AGO,forestry-and-land-use,removals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,-58529408.80294569,,annual,,
AIA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,-6427.288524889995,,annual,,
AIA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,4602.646920199998,,annual,,
AIA,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,10776.596225299996,,annual,,
AIA,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-9034.981011599995,,annual,,
AIA,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,-16607.688284232998,,annual,,
AIA,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,9200.655901653992,,annual,,
AIA,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,6521.332964519999,,annual,,
AIA,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,-2086.08025485,,annual,,
AIA,forestry-and-land-use,removals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,-778.7802745599992,,annual,,
AIA,forestry-and-land-use,removals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,-778.7802745599993,,annual,,
AIA,forestry-and-land-use,removals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,-64.89835621333326,,annual,,
ALA,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,-209647.54131351004,,annual,,
ALA,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,-532975.7319412999,,annual,,
ALA,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1240653.0204582,,annual,,
ALA,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-980520.903425,,annual,,
ALA,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,-833544.9041211997,,annual,,
ALA,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,1318399.46356933,,annual,,
ALA,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,-2500071.7386496,,annual,,
ALA,forestry-and-land-use,removals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1185032.29200714,,annual,,
ALA,forestry-and-land-use,removals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,98577.28454797,,annual,,
ALA,forestry-and-land-use,removals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,98577.28454797,,annual,,
ALA,forestry-and-land-use,removals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,8214.773712330836,,annual,,
ALB,forestry-and-land-use,removals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,342685.2872373001,,annual,,
ALB,forestry-and-land-use,removals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,-3772596.455307999,,annual,,
ALB,forestry-and-land-use,removals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,10894116.072816098,,annual,,
ALB,forestry-and-land-use,removals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,-4915324.2247958,,annual,,
ALB,forestry-and-land-use,removals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,-382126.9988259002,,annual,,
ALB,forestry-and-land-use,removals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,-2805877.8058216,,annual,,
ALB,forestry-and-land-use,removals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,3615756.7399713993,,annual,,
